area	height	readout	fwhm
1.309	40.379	16	29
0.856	31.729	15	25
1.785	43.147	16	34
1.570	45.914	17	28
1.231	53.062	14	21
1.349	32.960	11	30
1.541	19.921	13	47
0.717	34.636	13	20
0.559	16.338	15	31
1.129	28.592	18	27
1.093	32.387	12	31
1.228	24.377	15	29
0.989	22.278	18	48
1.447	40.578	11	30
1.391	43.141	16	25
1.139	13.130	11	34
1.451	25.885	16	43
0.933	17.647	12	26
1.261	20.468	14	29
1.336	25.826	17	24
1.093	21.248	17	38
1.226	20.832	17	27
0.822	18.746	13	35
0.124	7.006	17	17
1.170	25.126	12	44
1.367	30.419	11	46
1.502	36.449	16	23
1.055	23.290	12	26
0.126	7.901	13	14
0.661	29.620	14	21
1.250	30.375	13	36
1.179	19.482	16	26
0.616	24.073	14	23
1.398	30.492	11	28
0.820	34.027	17	22
1.342	30.643	18	28
1.216	28.267	12	27
1.323	31.442	15	24
0.405	15.063	13	24
1.132	27.152	14	40
1.088	19.767	14	77
0.134	8.299	11	14
1.387	34.887	15	29
0.902	16.865	18	40
0.107	6.732	18	14
0.086	6.762	16	11
1.365	17.768	17	38
0.143	8.399	12	15
0.112	6.467	15	14
0.102	7.026	16	13
1.296	25.682	11	36
1.237	26.702	17	22
1.050	33.127	12	27
0.117	7.456	16	15
0.959	12.356	18	29
0.933	15.609	13	59
1.468	34.560	12	22
0.143	6.660	16	19
1.177	15.188	11	43
1.019	31.527	18	30
0.212	8.543	11	20
0.194	6.854	12	46
0.493	16.522	16	29
2.032	33.881	16	33
0.690	30.063	15	21
0.079	5.949	18	12
1.174	32.624	13	33
0.129	7.786	11	16
0.121	6.670	17	16
1.333	38.079	15	21
1.025	24.319	17	40
0.100	8.070	11	10
1.350	15.235	17	28
0.146	8.580	14	16
1.490	37.406	16	28
0.083	6.299	18	11
0.097	7.418	12	11
0.172	9.177	11	18
1.295	23.840	11	25
1.472	27.945	16	44
1.172	17.456	13	64
1.226	22.466	12	55
1.324	29.229	17	22
0.480	14.521	13	17
0.993	21.393	13	28
1.066	31.885	15	30
1.109	18.673	17	56
1.629	30.900	13	58
0.109	7.277	14	13
0.107	6.465	15	15
0.135	7.415	15	17
0.115	6.517	18	16
0.799	10.313	12	57
1.228	17.328	15	53
0.904	39.035	13	21
0.946	22.646	12	41
1.096	23.513	16	44
1.511	51.225	11	22
1.573	62.293	16	21
1.413	37.523	11	28
1.026	21.958	16	42
0.838	13.781	16	32
0.115	8.105	13	12
0.707	17.534	18	40
1.294	42.103	15	29
1.198	19.527	17	35
1.224	17.278	13	22
0.540	21.344	18	24
1.552	56.751	16	25
1.390	42.205	14	21
0.731	15.097	12	26
1.564	36.517	12	34
0.114	6.991	16	15
0.896	20.393	11	31
1.329	20.588	11	28
0.416	9.169	14	35
1.243	18.301	13	33
1.374	33.386	15	43
0.972	25.956	17	22
1.345	24.371	16	35
0.368	14.867	13	23
1.216	36.196	16	32
1.431	55.087	13	24
0.133	7.572	12	16
0.108	7.224	18	12
1.410	46.687	11	27
1.061	19.077	17	29
0.991	31.432	18	31
0.978	36.934	18	24
1.076	21.288	11	21
1.081	29.988	17	27
0.994	17.742	14	40
1.360	22.044	14	28
1.427	34.547	17	30
1.467	26.498	14	29
0.718	8.190	12	216
0.105	6.865	16	13
1.292	28.056	13	47
0.880	8.920	18	114
1.240	21.647	16	29
1.443	20.435	11	39
0.091	7.065	15	12
1.403	19.815	13	36
1.267	19.982	14	32
1.162	27.038	11	35
1.669	64.778	16	23
0.955	39.512	12	23
0.873	21.950	18	25
1.632	26.647	12	28
